Hour,Arrivals,Waiting,Treating,Available Rooms,Total Treatment Time,Average Treatment Time,Total Wait Time,Average Wait Time,Total Arrivals
1,4,0,2,23,1200,600,0,0,4
2,4,0,3,22,12720,2544,0,0,8
3,6,0,8,17,14940,2490,0,0,14
4,4,0,7,18,29100,2645,0,0,18
5,8,0,7,18,74700,3931,0,0,26
6,11,0,15,10,89520,4069,0,0,37
7,7,0,12,13,126720,3960,0,0,44
8,11,0,7,18,194880,4060,0,0,55
9,4,0,6,19,210120,3964,0,0,59
10,8,0,8,17,239280,4055,0,0,67
11,7,0,11,14,253980,4031,0,0,74
12,5,0,4,21,301380,4018,0,0,79
13,11,0,10,15,313440,3918,0,0,90
14,2,0,5,20,351480,4040,0,0,92
15,6,0,6,19,364080,3957,0,0,98
16,8,0,8,17,396660,4047,0,0,106
17,7,0,5,20,425100,3936,0,0,113
18,8,0,5,20,449640,3876,0,0,121
19,4,0,2,23,476340,3872,0,0,125
20,6,0,7,18,477720,3852,0,0,131
21,14,0,15,10,492900,3791,0,0,145
22,2,0,9,16,526680,3816,0,0,147
23,9,0,4,21,589320,3877,0,0,156
24,4,0,4,21,594120,3808,0,0,160
25,6,0,6,19,612300,3826,0,0,166
26,9,0,10,15,627780,3804,0,0,175
27,12,0,10,15,677700,3828,0,0,187
28,5,0,5,20,706920,3780,0,0,192
29,7,0,6,19,725280,3757,0,0,199
30,6,0,6,19,739740,3717,0,0,205
31,11,0,11,14,765000,3731,0,0,216
32,9,0,13,12,788100,3717,0,0,225
33,9,0,10,15,842640,3761,0,0,234
34,12,0,11,14,891840,3795,0,0,246
35,7,0,6,19,933660,3780,0,0,253
36,8,0,7,18,954060,3756,0,0,261
37,7,0,6,19,969480,3700,0,0,268
38,7,0,7,18,994200,3709,0,0,275
39,10,0,10,15,1021080,3713,0,0,285
40,9,0,14,11,1038060,3707,0,0,294
41,10,0,13,12,1095180,3763,0,0,304
42,6,0,7,18,1148640,3790,0,0,310
43,5,0,7,18,1173240,3809,0,0,315
44,9,0,8,17,1209120,3826,0,0,324
45,3,0,5,20,1229760,3819,0,0,327
46,2,0,2,23,1265820,3871,0,0,329
47,3,0,2,23,1268520,3844,0,0,332
48,4,0,3,22,1275300,3829,0,0,336
49,7,0,3,22,1290840,3796,0,0,343
50,1,0,3,22,1294200,3795,0,0,344
51,5,0,5,20,1306740,3798,0,0,349
52,11,0,8,17,1324920,3763,0,0,360
53,4,0,6,19,1350720,3772,0,0,364
54,6,0,6,19,1376760,3782,0,0,370
55,5,0,4,21,1401000,3776,0,0,375
56,4,0,4,21,1413540,3769,0,0,379
57,5,0,6,19,1425180,3770,0,0,384
58,8,0,9,16,1444320,3771,0,0,392
59,12,0,16,9,1466340,3779,0,0,404
60,9,0,12,13,1521600,3794,0,0,413
61,6,0,7,18,1563780,3795,0,0,419
62,12,0,7,18,1599900,3773,0,0,431
63,7,0,8,17,1619940,3767,0,0,438
64,10,0,12,13,1643940,3770,0,0,448
65,8,0,14,11,1666560,3770,0,0,456
66,10,0,7,18,1735380,3780,0,0,466
67,6,0,6,19,1762620,3782,0,0,472
68,6,0,5,20,1790280,3784,0,0,478
69,4,0,3,22,1815420,3790,0,0,482
70,9,0,7,18,1825200,3771,0,0,491
71,5,0,5,20,1850940,3769,0,0,496
72,2,0,3,22,1872600,3783,0,0,498
73,7,0,6,19,1882140,3771,0,0,505
74,4,0,6,19,1894020,3765,0,0,509
75,5,0,6,19,1915980,3771,0,0,514
76,7,0,7,18,1935120,3764,0,0,521
77,1,0,1,24,1968960,3779,0,0,522
78,11,0,10,15,1974240,3774,0,0,533
79,5,0,11,14,1986660,3769,0,0,538
80,4,0,8,17,2027640,3797,0,0,542
81,11,0,9,16,2067180,3799,0,0,553
82,6,0,6,19,2101800,3800,0,0,559
83,4,0,6,19,2116800,3800,0,0,563
84,8,0,7,18,2152920,3817,0,0,571
85,12,0,12,13,2166660,3794,0,0,583
86,4,0,6,19,2209320,3802,0,0,587
87,8,0,8,17,2235480,3808,0,0,595
88,9,0,8,17,2269680,3808,0,0,604
89,13,0,10,15,2313060,3810,0,0,617
90,6,0,10,15,2340360,3817,0,0,623
91,8,0,9,16,2383140,3831,0,0,631
92,5,0,6,19,2413200,3830,0,0,636
93,11,0,9,16,2446200,3834,0,0,647
94,5,0,7,18,2460660,3814,0,0,652
95,12,0,12,13,2485620,3812,0,0,664
96,4,0,7,18,2519340,3811,0,0,668
97,5,0,4,21,2555940,3820,0,0,673
98,8,0,6,19,2571780,3810,0,0,681
99,2,0,4,21,2589300,3813,0,0,683
100,5,0,6,19,2599860,3812,0,0,688
101,4,0,8,17,2617380,3826,0,0,692
102,5,0,6,19,2653920,3840,0,0,697
103,9,0,8,17,2673060,3829,0,0,706
104,1,0,4,21,2702520,3844,0,0,707
105,8,0,4,21,2730360,3840,0,0,715
106,5,0,5,20,2743320,3836,0,0,720
107,17,0,11,14,2761680,3803,0,0,737
108,9,0,14,11,2782320,3800,0,0,746
109,7,0,4,21,2847720,3802,0,0,753
110,11,0,9,16,2864520,3794,0,0,764
111,10,0,11,14,2892660,3791,0,0,774
112,11,0,10,15,2935320,3787,0,0,785
113,5,0,8,17,2955180,3779,0,0,790
114,6,0,4,21,2996160,3783,0,0,796
115,6,0,6,19,3013800,3786,0,0,802
116,13,0,9,16,3038580,3769,0,0,815
117,4,0,7,18,3058500,3766,0,0,819
118,4,0,5,20,3094920,3783,0,0,823
119,4,0,7,18,3103740,3785,0,0,827
120,6,0,5,20,3142440,3795,0,0,833
121,3,0,2,23,3158040,3786,0,0,836
122,3,0,5,20,3158040,3786,0,0,839
123,10,0,11,14,3172260,3785,0,0,849
124,6,0,6,19,3207900,3778,0,0,855
125,4,0,7,18,3220440,3779,0,0,859
126,6,0,6,19,3247920,3781,0,0,865
127,6,0,10,15,3270180,3798,0,0,871
128,11,0,13,12,3301980,3799,0,0,882
129,4,0,4,21,3370740,3821,0,0,886
130,8,0,7,18,3388440,3820,0,0,894
131,10,0,11,14,3410340,3818,0,0,904
132,14,0,19,6,3424740,3809,0,0,918
133,11,0,14,11,3489960,3814,0,0,929
134,9,0,9,16,3558900,3830,0,0,938
135,7,0,7,18,3597120,3834,0,0,945
136,5,0,7,18,3616740,3835,0,0,950
137,7,0,9,16,3645840,3845,0,0,957
138,3,0,6,19,3674160,3851,0,0,960
139,8,0,10,15,3698460,3860,0,0,968
140,6,0,10,15,3711120,3849,0,0,974
141,7,0,8,17,3754320,3858,0,0,981
142,3,0,4,21,3791820,3869,0,0,984
143,4,0,2,23,3810840,3864,0,0,988
144,2,0,1,24,3818760,3861,0,0,990
145,3,0,3,22,3821280,3859,0,0,993
146,8,0,9,16,3823980,3854,0,0,1001
147,3,0,5,20,3858480,3862,0,0,1004
148,4,0,3,22,3889440,3870,0,0,1008
149,6,0,6,19,3897420,3866,0,0,1014
150,7,0,4,21,3926880,3861,0,0,1021
151,6,0,5,20,3940020,3855,0,0,1027
152,6,0,6,19,3947460,3843,0,0,1033
153,11,0,11,14,3982080,3854,0,0,1044
154,5,0,4,21,4024080,3850,0,0,1049
155,6,0,5,20,4040940,3848,0,0,1055
156,17,0,13,12,4053960,3828,0,0,1072
157,8,0,10,15,4091280,3823,0,0,1080
158,7,0,8,17,4137240,3834,0,0,1087
159,4,0,5,20,4164240,3834,0,0,1091
160,8,0,7,18,4184940,3832,0,0,1099
161,9,0,10,15,4200180,3825,0,0,1108
162,4,0,7,18,4233180,3830,0,0,1112
163,10,0,9,16,4276320,3842,0,0,1122
164,7,0,7,18,4301580,3833,0,0,1129
165,5,0,7,18,4320600,3833,0,0,1134
166,11,0,11,14,4337940,3825,0,0,1145
167,9,0,14,11,4362180,3826,0,0,1154
168,8,0,9,16,4425600,3838,0,0,1162
169,4,0,6,19,4456560,3841,0,0,1166
170,11,0,4,21,4490400,3828,0,0,1177
171,4,0,6,19,4509240,3837,0,0,1181
172,3,0,3,22,4534440,3839,0,0,1184
173,3,0,4,21,4548600,3844,0,0,1187
174,8,0,7,18,4559640,3838,0,0,1195
175,4,0,4,21,4583580,3835,0,0,1199
176,7,0,7,18,4598640,3835,0,0,1206
177,5,0,8,17,4608480,3830,0,0,1211
178,7,0,7,18,4645140,3835,0,0,1218
179,4,0,5,20,4664460,3832,0,0,1222
180,11,0,11,14,4687800,3836,0,0,1233
181,14,0,14,11,4715340,3824,0,0,1247
182,8,0,10,15,4760340,3823,0,0,1255
183,7,0,8,17,4802220,3829,0,0,1262
184,5,0,7,18,4829760,3833,0,0,1267
185,11,0,9,16,4861740,3831,0,0,1278
186,5,0,5,20,4893000,3828,0,0,1283
187,6,0,7,18,4911360,3831,0,0,1289
188,5,0,6,19,4931820,3829,0,0,1294
189,5,0,5,20,4957500,3831,0,0,1299
190,6,0,5,20,4971480,3824,0,0,1305
191,4,0,3,22,4987920,3819,0,0,1309
192,1,0,2,23,4995060,3818,0,0,1310
193,1,0,1,24,5006520,3821,0,0,1311
194,2,0,3,22,5006520,3821,0,0,1313
195,2,0,3,22,5012640,3820,0,0,1315
196,3,0,2,23,5025300,3818,0,0,1318
197,6,0,5,20,5033160,3815,0,0,1324
198,6,0,7,18,5043180,3811,0,0,1330
199,9,0,9,16,5064840,3808,0,0,1339
200,11,0,11,14,5089140,3800,0,0,1350
201,11,0,9,16,5139660,3801,0,0,1361
202,11,0,9,16,5173740,3795,0,0,1372
203,8,0,9,16,5206800,3797,0,0,1380
204,13,0,10,15,5242140,3790,0,0,1393
205,5,0,9,16,5253240,3782,0,0,1398
206,9,0,8,17,5298660,3787,0,0,1407
207,6,0,7,18,5333580,3793,0,0,1413
208,9,0,10,15,5360580,3796,0,0,1422
209,8,0,9,16,5388480,3792,0,0,1430
210,4,0,6,19,5409060,3787,0,0,1434
211,8,0,4,21,5442000,3784,0,0,1442
212,7,0,7,18,5454960,3782,0,0,1449
213,6,0,8,17,5472300,3781,0,0,1455
214,7,0,10,15,5495100,3784,0,0,1462
215,2,0,5,20,5535600,3794,0,0,1464
216,3,0,5,20,5559060,3802,0,0,1467
217,7,0,7,18,5581500,3804,0,0,1474
218,3,0,3,22,5608260,3804,0,0,1477
219,7,0,7,18,5621640,3806,0,0,1484
220,5,0,7,18,5635440,3802,0,0,1489
221,4,0,5,20,5662680,3805,0,0,1493
222,4,0,6,19,5680080,3809,0,0,1497
223,6,0,5,20,5710920,3812,0,0,1503
224,4,0,5,20,5730840,3815,0,0,1507
225,5,0,6,19,5749560,3817,0,0,1512
226,9,0,9,16,5774940,3819,0,0,1521
227,8,0,9,16,5800500,3816,0,0,1529
228,5,0,6,19,5839680,3821,0,0,1534
229,5,0,6,19,5862000,3823,0,0,1539
230,11,0,11,14,5879940,3820,0,0,1550
231,6,0,2,23,5935080,3819,0,0,1556
232,9,0,6,19,5958000,3821,0,0,1565
233,4,0,7,18,5968560,3821,0,0,1569
234,12,0,11,14,5994360,3818,0,0,1581
235,9,0,7,18,6048060,3820,0,0,1590
236,6,0,7,18,6061740,3814,0,0,1596
237,7,0,6,19,6084960,3810,0,0,1603
238,5,0,3,22,6113520,3809,0,0,1608
239,6,0,7,18,6122040,3809,0,0,1614
240,6,0,3,22,6149400,3802,0,0,1620
241,4,0,3,22,6162240,3801,0,0,1624
242,6,0,5,20,6173460,3799,0,0,1630
243,5,0,7,18,6186240,3799,0,0,1635
244,2,0,4,21,6198240,3795,0,0,1637
245,2,0,3,22,6218160,3800,0,0,1639
246,5,0,6,19,6227460,3801,0,0,1644
247,6,0,6,19,6239340,3795,0,0,1650
248,6,0,3,22,6269340,3792,0,0,1656
249,10,0,8,17,6281940,3788,0,0,1666
250,8,0,9,16,6302700,3785,0,0,1674
251,8,0,9,16,6334380,3786,0,0,1682
252,6,0,7,18,6367740,3788,0,0,1688
253,8,0,7,18,6397260,3787,0,0,1696
254,10,0,9,16,6421800,3784,0,0,1706
255,5,0,8,17,6440220,3781,0,0,1711
256,6,0,9,16,6464280,3784,0,0,1717
257,3,0,4,21,6502620,3789,0,0,1720
258,9,0,8,17,6515520,3785,0,0,1729
259,5,0,7,18,6533820,3783,0,0,1734
260,5,0,4,21,6568020,3785,0,0,1739
261,6,0,6,19,6579120,3783,0,0,1745
262,7,0,8,17,6592560,3780,0,0,1752
263,4,0,3,22,6620400,3776,0,0,1756
264,5,0,4,21,6635400,3776,0,0,1761
265,3,0,2,23,6646980,3772,0,0,1764
266,6,0,4,21,6656820,3769,0,0,1770
267,5,0,4,21,6666420,3764,0,0,1775
268,4,0,6,19,6672840,3763,0,0,1779
269,6,0,7,18,6699240,3767,0,0,1785
270,3,0,4,21,6731940,3773,0,0,1788
271,4,0,6,19,6737460,3772,0,0,1792
272,9,0,9,16,6748860,3766,0,0,1801
273,4,0,7,18,6775980,3768,0,0,1805
274,9,0,7,18,6820740,3774,0,0,1814
275,12,0,9,16,6841800,3765,0,0,1826
276,10,0,11,14,6861600,3759,0,0,1836
277,6,0,8,17,6895020,3759,0,0,1842
278,10,0,10,15,6936300,3765,0,0,1852
279,7,0,8,17,6967980,3764,0,0,1859
280,12,0,10,15,7001040,3761,0,0,1871
281,12,0,14,11,7041600,3767,0,0,1883
282,13,0,9,16,7102320,3763,0,0,1896
283,4,0,6,19,7125840,3762,0,0,1900
284,4,0,4,21,7152840,3764,0,0,1904
285,2,0,1,24,7185360,3771,0,0,1906
286,2,0,1,24,7188840,3769,0,0,1908
287,3,0,2,23,7190880,3766,0,0,1911
288,3,0,4,21,7194480,3766,0,0,1914
289,4,0,5,20,7214340,3771,0,0,1918
290,5,0,5,20,7225440,3767,0,0,1923
291,2,0,3,22,7245900,3769,0,0,1925
292,7,0,3,22,7262460,3764,0,0,1932
293,5,0,5,20,7268340,3762,0,0,1937
294,6,0,9,16,7279800,3764,0,0,1943
295,12,0,17,8,7294080,3763,0,0,1955
296,8,0,13,12,7356480,3772,0,0,1963
297,3,0,3,22,7407480,3773,0,0,1966
298,7,0,5,20,7428180,3774,0,0,1973
299,7,0,5,20,7441920,3768,0,0,1980
300,10,0,5,20,7469520,3762,0,0,1990
301,10,0,7,18,7486140,3756,0,0,2000
302,13,0,12,13,7510380,3753,0,0,2013
303,6,0,7,18,7546200,3750,0,0,2019
304,11,0,11,14,7569000,3748,0,0,2030
305,7,0,8,17,7606020,3748,0,0,2037
306,9,0,9,16,7626600,3744,0,0,2046
307,4,0,9,16,7646520,3746,0,0,2050
308,7,0,7,18,7696740,3754,0,0,2057
309,6,0,7,18,7716360,3753,0,0,2063
310,5,0,6,19,7744440,3755,0,0,2068
311,4,0,4,21,7764960,3754,0,0,2072
312,4,0,4,21,7781460,3755,0,0,2076
313,2,0,4,21,7789920,3755,0,0,2078
314,4,0,4,21,7809060,3757,0,0,2082
315,1,0,3,22,7824060,3761,0,0,2083
316,6,0,7,18,7830420,3761,0,0,2089
317,2,0,2,23,7858200,3761,0,0,2091
318,9,0,8,17,7861680,3757,0,0,2100
319,2,0,3,22,7886700,3757,0,0,2102
320,8,0,10,15,7887660,3756,0,0,2110
321,10,0,12,13,7924020,3759,0,0,2120
322,10,0,10,15,7963200,3756,0,0,2130
323,10,0,11,14,7999860,3757,0,0,2140
324,8,0,7,18,8048700,3759,0,0,2148
325,7,0,8,17,8072820,3760,0,0,2155
326,8,0,6,19,8105520,3757,0,0,2163
327,7,0,7,18,8121420,3754,0,0,2170
328,7,0,8,17,8156700,3760,0,0,2177
329,5,0,8,17,8181780,3763,0,0,2182
330,11,0,5,20,8221920,3757,0,0,2193
331,9,0,7,18,8245080,3756,0,0,2202
332,10,0,7,18,8275080,3752,0,0,2212
333,7,0,3,22,8304540,3747,0,0,2219
334,5,0,3,22,8327880,3749,0,0,2224
335,8,0,6,19,8335800,3744,0,0,2232
336,5,0,5,20,8355120,3743,0,0,2237
337,5,0,6,19,8370780,3743,0,0,2242
338,4,0,4,21,8397600,3745,0,0,2246
339,7,0,5,20,8410680,3741,0,0,2253
340,6,0,9,16,8419680,3742,0,0,2259
341,7,0,7,18,8448240,3739,0,0,2266
342,6,0,4,21,8485380,3741,0,0,2272
343,6,0,6,19,8500320,3741,0,0,2278
344,10,0,6,19,8531940,3738,0,0,2288
345,12,0,10,15,8554380,3735,0,0,2300
346,14,0,16,9,8582760,3734,0,0,2314
347,10,0,10,15,8640360,3733,0,0,2324
348,8,0,8,17,8685720,3737,0,0,2332
349,8,0,9,16,8713320,3738,0,0,2340
350,3,0,6,19,8742960,3741,0,0,2343
351,8,0,8,17,8767800,3742,0,0,2351
352,11,0,10,15,8800680,3741,0,0,2362
353,7,0,9,16,8827380,3740,0,0,2369
354,9,0,8,17,8864280,3740,0,0,2378
355,6,0,10,15,8879400,3740,0,0,2384
356,5,0,6,19,8917140,3741,0,0,2389
357,4,0,4,21,8950920,3746,0,0,2393
358,2,0,3,22,8959800,3745,0,0,2395
359,6,0,5,20,8968980,3743,0,0,2401
360,5,0,7,18,8983020,3744,0,0,2406
361,5,0,8,17,8996280,3743,0,0,2411
362,0,0,1,24,9033840,3748,0,0,2411
363,4,0,2,23,9039420,3746,0,0,2415
364,1,0,1,24,9052860,3748,0,0,2416
365,2,0,3,22,9052860,3748,0,0,2418
366,8,0,9,16,9056640,3747,0,0,2426
367,7,0,5,20,9085860,3742,0,0,2433
368,7,0,7,18,9102120,3741,0,0,2440
369,7,0,8,17,9125100,3741,0,0,2447
370,8,0,8,17,9148860,3738,0,0,2455
371,1,0,3,22,9180300,3742,0,0,2456
372,13,0,7,18,9203940,3738,0,0,2469
373,6,0,6,19,9223500,3735,0,0,2475
374,5,0,6,19,9239760,3734,0,0,2480
375,17,0,10,15,9275760,3729,0,0,2497
376,9,0,11,14,9307860,3730,0,0,2506
377,9,0,10,15,9348960,3732,0,0,2515
378,3,0,2,23,9388200,3731,0,0,2518
379,7,0,6,19,9391980,3728,0,0,2525
380,4,0,3,22,9413400,3726,0,0,2529
381,4,0,5,20,9422100,3727,0,0,2533
382,4,0,4,21,9443220,3728,0,0,2537
383,2,0,1,24,9465840,3729,0,0,2539
384,4,0,4,21,9466560,3728,0,0,2543
385,5,0,6,19,9477900,3728,0,0,2548
386,4,0,8,17,9493560,3731,0,0,2552
387,8,0,12,13,9513180,3733,0,0,2560
388,7,0,9,16,9555960,3735,0,0,2567
389,5,0,7,18,9590460,3738,0,0,2572
390,9,0,10,15,9605520,3736,0,0,2581
391,7,0,8,17,9639360,3736,0,0,2588
392,9,0,9,16,9675180,3738,0,0,2597
393,8,0,7,18,9713040,3738,0,0,2605
394,2,0,4,21,9732180,3738,0,0,2607
395,8,0,8,17,9747840,3739,0,0,2615
396,12,0,15,10,9753540,3734,0,0,2627
397,18,3,18,7,9811380,3739,3420,1,2645
398,11,0,16,9,9878520,3741,10320,3,2656
399,9,0,14,11,9933360,3747,10320,3,2665
400,5,0,7,18,9987720,3750,10320,3,2670
401,6,0,6,19,10018560,3752,10320,3,2676
402,4,0,2,23,10052700,3753,10320,3,2680
403,8,0,8,17,10059000,3753,10320,3,2688
404,6,0,8,17,10078380,3752,10320,3,2694
405,7,0,9,16,10103280,3753,10320,3,2701
406,2,0,4,21,10131060,3753,10320,3,2703
407,9,0,6,19,10146540,3749,10320,3,2712
408,4,0,3,22,10170780,3748,10320,3,2716
409,4,0,5,20,10182540,3750,10320,3,2720
410,12,0,12,13,10195560,3748,10320,3,2732
411,4,0,9,16,10222440,3748,10320,3,2736
412,5,0,4,21,10267860,3751,10320,3,2741
413,6,0,6,19,10274580,3748,10320,3,2747
414,6,0,4,21,10300320,3746,10320,3,2753
415,7,0,4,21,10317480,3743,10320,3,2760
416,11,0,10,15,10324200,3739,10320,3,2771
417,4,0,5,20,10372080,3744,10320,3,2775
418,9,0,6,19,10390620,3740,10320,3,2784
419,9,0,7,18,10409820,3736,10320,3,2793
420,4,0,8,17,10424220,3737,10320,3,2797
421,10,0,10,15,10441560,3733,10320,3,2807
422,9,0,8,17,10491420,3736,10320,3,2816
423,6,0,7,18,10527240,3739,10320,3,2822
424,9,0,8,17,10552920,3738,10320,3,2831
425,8,0,11,14,10577220,3740,10320,3,2839
426,7,0,9,16,10613940,3741,10320,3,2846
427,2,0,2,23,10650660,3742,10320,3,2848
428,4,0,2,23,10673100,3744,10320,3,2852
429,7,0,8,17,10673820,3743,10320,3,2859
430,6,0,6,19,10697460,3741,10320,3,2865
431,7,0,7,18,10715280,3740,10320,3,2872
432,3,0,1,24,10753620,3741,10320,3,2875
433,5,0,4,21,10758840,3740,10320,3,2880
434,6,0,8,17,10761180,3739,10320,3,2886
435,3,0,5,20,10793520,3742,10320,3,2889
436,3,0,3,22,10811820,3742,10320,3,2892
437,5,0,4,21,10818720,3739,10320,3,2897
438,9,0,9,16,10826460,3737,10320,3,2906
439,6,0,6,19,10850220,3733,10320,3,2912
440,4,0,2,23,10868820,3729,10320,3,2916
441,3,0,3,22,10885140,3732,10320,3,2919
442,13,0,9,16,10898100,3728,10320,3,2932
443,7,0,7,18,10915020,3722,10320,3,2939
444,3,0,4,21,10939020,3723,10320,3,2942
445,6,0,6,19,10956660,3724,10320,3,2948
446,7,0,6,19,10979220,3723,10320,3,2955
447,9,0,8,17,10999260,3720,10320,3,2964
448,11,0,9,16,11023560,3716,10320,3,2975
449,7,0,10,15,11041620,3715,10320,3,2982
450,7,0,6,19,11087460,3716,10320,3,2989
451,6,0,4,21,11109660,3714,10320,3,2995
452,9,0,7,18,11129520,3713,10320,3,3004
453,10,0,11,14,11142180,3710,10320,3,3014
454,2,0,4,21,11179320,3711,10320,3,3016
455,9,0,8,17,11199360,3712,10320,3,3025
456,2,0,4,21,11220120,3711,10320,3,3027
457,2,0,3,22,11239020,3714,10320,3,3029
458,4,0,3,22,11248140,3712,10320,3,3033
459,4,0,6,19,11253180,3712,10320,3,3037
460,6,0,5,20,11277720,3712,10320,3,3043
461,4,0,2,23,11291340,3708,10320,3,3047
462,6,0,8,17,11291340,3708,10320,3,3053
463,4,0,6,19,11312820,3707,10320,3,3057
464,10,0,11,14,11330280,3707,10320,3,3067
465,9,0,9,16,11366100,3705,10320,3,3076
466,7,0,11,14,11381460,3704,10320,3,3083
467,14,0,11,14,11444400,3708,10320,3,3097
468,10,0,11,14,11466720,3703,10320,3,3107
469,9,0,11,14,11501280,3704,10320,3,3116
470,22,0,17,8,11556180,3702,11100,3,3138
471,11,0,19,6,11597040,3705,11100,3,3149
472,5,0,7,18,11675460,3710,11100,3,3154
473,9,0,7,18,11715840,3712,11100,3,3163
474,6,0,7,18,11731140,3710,11100,3,3169
475,7,0,9,16,11757240,3712,11100,3,3176
476,4,0,7,18,11785920,3714,11100,3,3180
477,2,0,1,24,11816040,3714,11100,3,3182
478,4,0,4,21,11819160,3714,11100,3,3186
479,8,0,8,17,11826540,3712,11100,3,3194
480,6,0,4,21,11866140,3712,11100,3,3200
481,3,0,3,22,11886900,3714,11100,3,3203
482,5,0,5,20,11891520,3712,11100,3,3208
483,2,0,3,22,11905380,3712,11100,3,3210
484,7,0,7,18,11925000,3714,11100,3,3217
485,8,0,8,17,11942100,3712,11100,3,3225
486,2,0,2,23,11982300,3715,11100,3,3227
487,3,0,3,22,11986620,3714,11100,3,3230
488,7,0,5,20,12005460,3714,11100,3,3237
489,5,0,6,19,12022260,3715,11100,3,3242
490,8,0,7,18,12044400,3713,11100,3,3250
491,8,0,9,16,12069120,3714,11100,3,3258
492,3,0,6,19,12098460,3716,11100,3,3261
493,8,0,7,18,12129420,3718,11100,3,3269
494,10,0,10,15,12140700,3713,11100,3,3279
495,7,0,11,14,12161040,3713,11100,3,3286
496,4,0,6,19,12211440,3718,11100,3,3290
497,11,0,10,15,12236880,3718,11100,3,3301
498,4,0,7,18,12265800,3719,11100,3,3305
499,5,0,5,20,12294480,3719,11100,3,3310
500,7,0,5,20,12307920,3716,11100,3,3317
501,8,0,7,18,12327000,3715,11100,3,3325
502,4,0,6,19,12352080,3717,11100,3,3329
503,6,0,6,19,12387300,3721,11100,3,3335
504,0,0,5,20,12393000,3721,11100,3,3335
505,8,0,6,19,12420540,3722,11100,3,3343
506,4,0,7,18,12435960,3723,11100,3,3347
507,6,0,8,17,12461820,3725,11100,3,3353
508,3,0,5,20,12494220,3728,11100,3,3356
509,6,0,6,19,12518040,3730,11100,3,3362
510,5,0,5,20,12542580,3730,11100,3,3367
511,4,0,3,22,12570780,3732,11100,3,3371
512,4,0,3,22,12588540,3733,11100,3,3375
513,6,0,5,20,12598440,3731,11100,3,3381
514,6,0,7,18,12613020,3731,11100,3,3387
515,7,0,9,16,12641580,3734,11100,3,3394
516,9,0,7,18,12668700,3730,11100,3,3403
517,8,0,8,17,12693360,3730,11100,3,3411
518,10,0,11,14,12716160,3729,11100,3,3421
519,7,0,10,15,12745980,3729,11100,3,3428
520,13,0,11,14,12799140,3731,11100,3,3441
521,4,0,10,15,12822300,3732,11100,3,3445
522,7,0,8,17,12869640,3736,11100,3,3452
523,6,0,6,19,12903240,3737,11100,3,3458
524,10,0,7,18,12935340,3737,11100,3,3468
525,6,0,8,17,12954420,3737,11100,3,3474
526,3,0,5,20,12983580,3739,11100,3,3477
527,6,0,6,19,13008660,3741,11100,3,3483
528,2,0,4,21,13020540,3740,11100,3,3485
529,6,0,6,19,13041480,3742,11100,3,3491
530,2,0,4,21,13051140,3740,11100,3,3493
531,7,0,7,18,13071600,3742,11100,3,3500
532,3,0,4,21,13093740,3742,11100,3,3503
533,4,0,3,22,13106160,3740,11100,3,3507
534,4,0,7,18,13106160,3740,11100,3,3511
535,7,0,4,21,13145040,3740,11100,3,3518
536,11,0,12,13,13149360,3738,11100,3,3529
537,8,0,10,15,13179960,3736,11100,3,3537
538,10,0,7,18,13221360,3734,11100,3,3547
539,4,0,4,21,13241640,3733,11100,3,3551
540,11,0,9,16,13262400,3732,11100,3,3562
541,10,0,9,16,13284060,3728,11100,3,3572
542,5,0,4,21,13320900,3728,11100,3,3577
543,10,0,11,14,13332300,3728,11100,3,3587
544,11,0,8,17,13386420,3728,11100,3,3598
545,7,0,5,20,13420380,3727,11100,3,3605
546,4,0,5,20,13438200,3728,11100,3,3609
547,8,0,7,18,13457040,3727,11100,3,3617
548,7,0,5,20,13476960,3723,11100,3,3624
549,4,0,6,19,13494000,3725,11100,3,3628
550,7,0,4,21,13530180,3726,11100,3,3635
